Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
0,"Pour 1 1/4 oz raspberry vodka, 3/4 oz triple sec, 1 dash raspberry liqueur, and 1.5 oz cranberry juice into a stainless steel cocktail shaker filled with ice",pour,1 1/4 | 3/4 | 1 | 1.5,oz | dash,cranberry juice | vodka | triple | sec | ice,shaker,,,raspberry
1,Top with whipped cream and garnish with a mint leaf for an extra touch of elegance,top,,,whipped cream | mint leaf,,,whipped,
5,Shake vigourously and strain into a chilled cocktail glass,shake | strain,,,,cocktail glass,chilled,,
0,"Pour the light rum, pineapple juice, and cream of coconut into a cocktail shaker filled with ice",pour | light,,,pineapple juice | light rum | coconut | cream | ice,shaker,,,
4,"Boil for 2 minutes, remove from the heat, and set aside to cool",heat | cool | boil | set aside,2,minutes,,,,,
0,Sprinkle with grated chocolate for an extra touch of indulgence,,,,chocolate,,,grated,
4,"Garnish with an additional coffee bean, then squeeze a lemon twist over the drink to express the oils, and drop it in",squeeze | drop | express,,drop,coffee,,,,lemon twist
1,"Serve and enjoy this refreshing, bubbly cocktail!",serve,,,,,,,
3,"Fill the glass with 5-6 oz of sparkling orange soda, such as Orangina, for a refreshing citrus flavor",fill,5 | 6,oz,orange,glass,,,
1,Pour the whisky and Irish cream together into a shot glass,pour,,shot,irish cream | whisky,shot glass,hot,,
1,In a mixing bowl blend all ingredients together with a hand mixer,blend,,,,bowl | mixer,,,
1,Savor the rich and creamy flavors of your Cherried Cream Rum!,,,,rum | cream,,,,
1,Garnish with grated dark chocolate,,,,dark chocolate,,,grated,
5,Gently muddle the citrus slices and simple syrup at the bottom of a short glass,muddle,,slices,simple syrup,glass,,,
3,"In a shaking glass, combine lime juice, cranberry juice, orange liqueur, and citrus vodka",combine,,,cranberry juice | orange liqueur | citrus vodka | lime juice,glass,,,
4,Simmer for about 15 minutes,simmer,15,minutes,,,,,
0,"Stir the first 3 ingredients over ice, strain into a Collins glass and top with ginger ale",strain | stir | top,3,,ginger ale | ice,collins glass,,,
0,Top up with ice and then shake for 10 seconds,shake | top,10,seconds,ice,,,,
2,Shake very well until the jug is cold to the touch,shake,,,,,cold,,
4,Pour 3/4 oz of coconut rum and 3/4 oz of banana liqueur over the ice,pour,3/4,oz,banana liqueur | coconut rum | ice,,,,
1,"In a cocktail shaker filled with ice, add 2 oz cherry brandy and ½ oz lemon juice",add,2 | ½,oz,lemon juice | brandy | ice,shaker,,,cherry
0,Blend until all the ingredients are well stirred and the mixture is smooth,blend,,,,,,,
1,Strain the cocktail into the chilled Coupe glass,strain,,,,coupe glass,chilled,,
1,Enjoy in your favorite cocktails or as a refreshing after-dinner drink,,,,,,,,
1,"Garnish to your heart’s content – little umbrella, pineapple slice, the works!",,,slice,pineapple,,,,
5,"Garnish with grated nutmeg, if using, and serve at once",serve,,,,,,grated,nutmeg
1,Strain into a rocks glass filled with fresh ice,strain,,,ice,rocks glass,,,
1,Garnish with brandied cherries,,,,,,,,brandied cherries
1,"Pour the liquid into shot glasses, molds, or a shallow baking pan for a sheet of gelatin to cut up once set",pour | cut,,shot,,glasses | pan,hot,,
3,Pour  or strain  into a tall glass or tiki mug,pour | strain,,,,tiki mug | glass,,,
4,"In a pitcher filled halfway with ice, add all ingredients",add,,,ice,pitcher,,,
3,Garnish with a pineapple wedge and cherry,,,,,,,,pineapple wedge | cherry
5,Create red jello by adding jello to hot water,,,,water,,hot,,
5,Strain and rebottle,strain,,,,,,,
3,Top off withsoda waterand enjoy,top | top off,,,,,,,
5,Pour the mixture into a rocks or old-fashioned glass,pour,,,,glass,,,
4,"Shake again, firmly, to chill, but do not overdilute",shake,,,,,,,
0,Top with whipped cream and gold flakes,top,,,,,,whipped,whipped cream
5,Garnish with mango slices and a sprig of fresh mint,,,slices,fresh mint | mango,,,,
5,Add the Campari and ice to the glass and stir gently,add | stir,,,campari | ice,glass,,,
3,"In a bowl, whisk the matcha with coconut water just off the boil",whisk | boil,,,coconut water | matcha,whisk | bowl,,,
2,"Add Ketel One vodka, sugar syrup, lemon juice and apple juice to a cocktail shaker with ice",add,,,lemon juice | apple juice | sugar syrup | vodka | ice,shaker,,,
5,Add an orange wheel,add,,wheel,,,,,orange wheel
2,Strain into the prepared shot glasses,strain,,shot,,glasses,hot,,
0,Pour the Malibu rum and peach schnapps into a cocktail glass,pour,,,peach schnapps | rum | malibu,cocktail glass,,,
3,"Using a whisk, fold in the prepared mixture until everything is well mixed, and chill for another hour",whisk | fold,,hour,,whisk,,,
0,Add watermelon jello to hot water and stir to combine,add | stir | combine,,,watermelon | water,,hot,,
1,Garnish with lime wedges and fresh cranberries,,,,lime,,,,
1,Double strain in a coupe and garnish with seasonal fruit,strain | double strain,,,,,,,
0,"Blend for 15 seconds, adding crushed ice for the last few seconds",blend,15,seconds,ice,,,crushed,
1,"Muddle dragon fruit, mint leaves, lime wedges, and simple syrup in the base of a glass",muddle,,,simple syrup | mint leaves | lime,glass,,,
1,"Strain the liquid into an ice filled glass, and top off the glass withsoda water",strain | top | top off,,,ice | water,glass,,,
0,Garnish with a long cucumber ribbon,,,,cucumber,,,,
3,Top with tonic water and garnish,top,,,tonic water,,,,
5,Float a slice of lemon on top,top | float,,slice,lemon,,,,
0,Add hennessey to shot glass and set aside,add | set aside,,shot,,shot glass,hot,,
1,"Bring to a boil, then reduce the heat and allow to simmer for 10 minutes, stirring to ensure the sugar has all dissolved",heat | boil | simmer | reduce,10,minutes,sugar,,,dissolved,
5,"Meanwhile, add the remaining ingredients  to a shaker",add,,,,shaker,,,
0,"After 2 days, strain the mixture to remove the lemon skins",strain,2,,lemon,,,,
3,Shake everything but the wine and strain into cocktail glass,shake | strain,,,wine,cocktail glass,,,
0,"Add the orange cuaçao, dry vermouth, and tequila into a shaker with ice",add,,,dry vermouth | tequila | orange | ice,shaker,,,
3,"Add 4 oz. of heavy cream, 1/4 to 1/2 oz. , and a pinch of sea salt to a shaker",add,4 | 1/4 | 1/2,oz | pinch,heavy cream | sea salt,shaker,,,
5,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside",add | rinse,,,absinthe | ice,glass,chilled,crushed,
1,Top with Lambrusco and club soda,top,,,club soda,,,,
1,"Muddle mint leaves, lime wedges and simple syrup in base of glass",muddle,,,simple syrup | mint leaves | lime,glass,,,
2,Blend all ingredients with ice,blend,,,ice,,,,
2,Pour 1.5 oz of bourbon whiskey  into a cocktail shaker,pour,1.5,oz,bourbon whiskey,shaker,,,
2,Garnish with some tasty Maraschino cherries,,,,maraschino,,,,cherries
2,Stir briefly until the ingredients are well mixed,stir,,,,,,,
2,Add 6-8 oz  citrus soda to the glass,add,6 | 8,oz,,glass,,,
4,"In a highball glass filled with ice cubes, pour 0.75 oz spiced rum, 0.5 oz peppermint schnapps, 2 oz Collins mix, and 2 oz cranberry juice",pour | mix,0.75 | 0.5 | 2,oz | cubes,peppermint schnapps | cranberry juice | spiced rum | ice,highball glass,,iced,
3,"Add all ingredients to a cocktail shaker, add ice, and shake hard",add | shake,,,ice,shaker,,,
2,"Sunflower Seed Orgeat: Combine 400 grams of hot water, 200 grams of sugar and 150 grams of sunflower seeds, unsalted & roasted",combine,400 | 200 | 150,grams,sugar | water | orgeat,,hot,,
4,Stir the mixture well to ensure all ingredients are chilled and combined,stir,,,,,chilled,,
1,"Serve immediately and enjoy the fruity, refreshing flavors of Ginny’s Slammin’ Goddess",serve,,,,,,,
4,Shake and strain into a chilled rocks glass filled with crushed ice,shake | strain,,,ice,rocks glass,chilled,crushed,
2,Pour mixture into popsicle mold,pour,,,,,,,
2,Do not stir to maintain the layered effect,stir,,,,,,,
3,Top with more crushed ice and garnish with a mint sprig,top,,,ice,,,crushed,mint sprig
1,"Strain through a medium-mesh strainer into a chilled glass, agitating as you strain to force as much liquid as possible into the glass",strain,,,,glass | strainer,chilled,,
4,Serve immediately and enjoy the sweet and tangy flavors of your Cherry Martini!,serve,,,,,,,cherry
5,"Garnish with a twist of orange peel, expressing the oils over the drink before dropping it into the glass",,,,,glass,,,orange peel
1,Garnish with a twist or wedge of grapefruit,,,,grapefruit,,,,
0,"Remove from the heat and add 3 cinnamon stick, broken into pieces",add | heat,3,pieces,,,,,cinnamon stick
1,Fine strain in a pre-chilled cocktail glass,strain | fine strain,,,,cocktail glass,chilled,,
2,Strain the mixture into a champagne tulip,strain,,,champagne,,,,
1,Pour in 0.5 cup of Canadian whisky and 0.5 cup of lemonade,pour,0.5,cup,whisky | lemonade,cup,,,
1,Add straw and garnish with lime wedge,add,,,,,,,lime wedge
0,Stir briefly and top with more crushed ice,stir | top,,,ice,,,crushed,
0,Then add ice and the gin and stir to make the cocktail cold,add | stir,,,gin | ice,,cold,,
3,"Strain mimx into 3 separate glasses and add liqueurs for each color, accordingly",add | strain | separate,3,,,glasses,,,
4,Top with cranberry-raspberry juice,top,,,cranberry,,,,raspberry
1,Dry shake the Egg White without Ice,shake | dry shake,,,egg white | ice,,,,
2,Stir the mixture well to blend the flavors,blend | stir,,,,,,,
1,Add all the liquid ingredients with Ice and shake,add | shake,,,ice,,,,
3,Pour the mix into rimmed glass,pour | mix,,,,glass,,,
5,Sprinkle with popcorn powder,,,,,,,,
1,Pour the ingredients into a cocktail shaker with ice cubes,pour,,cubes,ice,shaker,,,
3,"Shake vigorously, then strain into a copper mug",shake | strain,,,,copper mug,,,
0,Strain into your cocktail glass,strain,,,,cocktail glass,,,
2,Top with strawberry mixture,top,,,,,,,strawberry
4,Add the sugar and the wine and stir again,add | stir,,,wine | sugar,,,,
1,Serve immediately and enjoy your Boy Wonder cocktail,serve,,,,,,,
5,Combine ingredients over fresh ice and garnish with a skewered lemon wheel and raspberry,combine,,wheel,ice,,,,lemon wheel | raspberry
1,Add all ingredients apart from ginger beer into mixing tin,add,,,ginger beer,,,,
4,Garnish with Coconut Flakes,,,,coconut,,,,
0,Top with 2 oz of whipped cream,top,2,oz,,,,whipped,whipped cream
0,Pour the tropical-fruit liqueur into a highball glass filled with ice,pour,,,tropical-fruit liqueur | ice,highball glass,,,
5,Strain the mixture into a cocktail glass,strain,,,,cocktail glass,,,
0,"Serve the Dog’s Nose cocktail right away and enjoy its bold, refreshing flavors",serve,,,,,,,
4,Garnish with a Watermelon Round,,,,watermelon,,,,
1,Garnish with Mint Sprig,,,,,,,,mint sprig
2,"Bring to a boil and cook, stirring, until the sauce is slightly thickened",boil,,,,,,,
2,Strain out the spices and orange peel before serving,strain,,serving,,,,,orange peel
1,Add 1 oz of triple sec to the mixture,add,1,oz,triple | sec,,,,
1,"Sprinkle a little nutmeg on top if desired, and serve immediately",serve | top,,,,,,,nutmeg
3,Add all ingredients to a mixing glass and stir to combine,add | stir | combine,,,,glass,,,
2,Start by filling a Collins glass with ice cubes,,,cubes,ice,collins glass,,,
3,"Wipe a lemon wedge around the glass to wet the surface, then dip it into the sugar",dip,,,sugar,glass,,,lemon wedge
3,"In a glass with ice, combine the tomato juice, Mountain vodka, red carrot juice, and fresh lemon juice",combine,,,carrot juice | tomato juice | lemon juice | vodka | ice,glass,,,
4,Top with a splash of sparkling wine,top | splash,,splash,sparkling wine,,,,
2,Remove the rosemary and add 2 cups of granulated sugar,add,2,cups,sugar,,,,rosemary
1,"Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink",,,,,,,,
4,Prepare your sour glass accordingly,prepare,,,,glass,,,
3,Pour one glass of apple juice  into a cocktail glass,pour,,,apple juice,cocktail glass | glass,,,
3,Slap a mint sprig between your palms and use as a garnish,,,,,,,,
4,"Store in a cool, dark place as you would other liquors, and use in your favorite drinks",place | cool,,,,,,,
5,Add the gin and lime juice to highball glass and stir,add | stir,,,lime juice | gin,highball glass,,,
5,"In a cocktail shaker half-filled with ice cubes, combine 2 oz gin, ½ oz ginger brandy, ½ oz lemon juice, and ½ tsp superfine sugar",combine,2 | ½,oz | tsp | cubes,lemon juice | gin | brandy | ginger | sugar | ice,shaker,,,
0,Add Cynar to a chilled highball or Collins glass filled with ice,add,,,cynar | ice,collins glass,chilled,,
1,"In a mixing glass add equal parts blue bazooka rum, pina colada drink and cream of coconut",add,,parts,rum | coconut | cream,glass,,,
1,"In a cocktail shaker half-filled with ice cubes, pour 1.5 oz of coffee liqueur, 0.5 oz of white crème de cacao, and 1.5 oz of cream",pour,1.5 | 0.5,oz | cubes,coffee liqueur | cream | ice,shaker,,,
1,"In a separate shaking glass, muddle mango slices and lime slices",muddle | separate,,slices,lime | mango,glass,,,
5,Garnish with a cucumber slice and Thai lime leaf,,,slice,lime,,,,cucumber slice
1,Fine strain into a chilled cocktail or margarita glass and garnish with a strawberry,strain | fine strain,,,,margarita glass,chilled,,strawberry
0,"Reduce heat to low; cook, stirring occasionally, for 10 minutes.Remove from heat; cool, about 30 minutes.Strain syrup through a fine-mesh sieve into a lidded container; cover with lid",strain | heat | cool | reduce,10 | 30,minutes,syrup,container,,,
5,Strain mix into a glass over ice and top with Japanese pale ale,strain | mix | top,,,ice,glass,,,
2,Add crushed ice and whip shake to chill,add | shake | whip,,,ice,,,crushed,
4,Combine all ingredients in a cocktail shaker with ice and shake until well chilled,shake | combine,,,ice,shaker,chilled | well chilled,,
1,"For an extra indulgent touch, top the drink with a small dollop of whipped cream",top,,,,,,whipped,whipped cream
1,"In a cocktail shaker filled with ice, add the cooled honey mixture, 50 ml gin, 30 ml lemon juice, and 30 ml orange juice",add,50 | 30,ml,orange juice | lemon juice | gin | honey | ice,shaker,cooled,,
3,"Add all the ingredients, except the lime twist, to a mixing glass with ice and then stir",add | stir,,,ice,glass,,,lime twist
5,"Add the rum, pineapple juice, Aperol, lime juice, andsimple syrupto a cocktail shaker",add,,,pineapple juice | lime juice | rum | aperol,shaker,,,
1,Pick a highball glass and add some ice,add,,,ice,highball glass,,,
4,Quickly drink the mixture before the fizz settles,,,,,,,,
2,"Pour the bourbon whiskey, Scotch whiskey, and gold tequila straight into a shot glass",pour,,shot,bourbon whiskey | scotch whiskey | gold tequila,shot glass,hot,,
1,Garnish as you see fit; a celery stalk and lemon wedge are considered standard but few would say no to an olive and bacon instead!,,,,,,,,lemon wedge | olive | celery
4,"In a highball glass filled with ice cubes, pour 1 oz of vodka, 1 oz of melon liqueur, and 4 oz of cranberry juice",pour,1 | 4,oz | cubes,cranberry juice | melon liqueur | vodka | ice,highball glass,,,
1,Strain into an ice-filled glass,strain,,,ice,glass,,,
3,Serve over ice with an apple slice,serve,,slice,ice,,,,apple slice
2,"Strain liquid through chinois, let chill in a freezer for 15 minutes and then use a coffee filter to fine strain liquid before use",strain | fine strain | filter,15,minutes,coffee,,,,
0,"Hold up the glass, say “Dude,” and enjoy your Cherry Martinsen Cocktail",,,,,glass,,,cherry
0,Serve immediately and enjoy the fruity surprise!,serve,,,,,,,
3,Muddle gently to release the herb's essence,muddle,,,,,,,
2,"Serve immediately and enjoy the bold, complex flavors of the Blow My Skull Off",serve,,,,,,,
0,"Spoon the puree into a large, chilled wine goblet",,,,wine | puree,spoon | goblet,chilled,,
1,"Serve immediately and enjoy the smooth, herbal flavors of your Italian Stinger cocktail",serve,,,,,,,
5,Add 2 splashes of butterscotch schnapps,add,2,splashes,butterscotch schnapps,,,,
1,Add 3 tablespoons of freshly ground coffee granules to a bottle of Smirnoff Vodka and let it steep for 24 hours,add | steep,3 | 24,tablespoons | hours,vodka | coffee,bottle,,ground,
2,Top the drink with lemon soda,top,,,lemon,,,,
3,Bottle and keep refrigerated for up to two weeks,,,,,bottle,,refrigerated,
0,"Add whiskey, ginger beer, and bitters to a Collins or highball glass filled with ice",add,,,ginger beer | whiskey | ice,highball glass,,,
3,"Add tequila, lime juice, and sweetener to the shaker",add,,,lime juice | tequila,shaker,,,
0,"Soak for 1 week, then strain and bottle for use",strain | soak,1,,,bottle,,,
0,Garnish with lemon peel,,,,,,,,lemon peel
1,Top with lemon-lime beverage,top,,,lemon | lime,,,,
3,Shake the mixture well to ensure all ingredients are thoroughly chilled and combined,shake,,,,,chilled,,
5,Pour green creme de menthe one third into shot glass,pour,,shot,creme de menthe,shot glass,hot,,
0,Fill the glass with 3 oz of lemon-lime soda,fill,3,oz,lemon | lime,glass,,,
5,Little waves make it look natural and artistic,,,,,,,,
1,Garnish with a slice of orange and a cherry for a vibrant finishing touch,,,slice,orange,,,,cherry
1,"At the same time, shape the inside edges into a rounded shape.​ Place the pan back into the oven and bake for two more minutes",place,,minutes,,pan,,,
2,"Finally, carefully pour 0.5 oz orange liqueur  over the back of a spoon to layer it on top of the Irish cream",pour | top | layer,0.5,oz,orange liqueur | irish cream,spoon,,,
0,Garnish with orange slice and cherry,,,slice,orange,,,,cherry
0,Fill the glass halfway with crushed ice,fill,,,ice,glass,,crushed,
3,Combine champagne and orange juice in a measuring cup,combine,,cup,orange juice | champagne,measuring cup,,,
5,"Pour 16 parts  of citrus soda over the rum, filling the cup",pour,16,cup | parts,rum,cup,,,
0,Mix and serve,mix | serve,,,,,,,
5,"Add ice to shaking glass and pour over tequila, grand marnier, lime juice, simple syrup and honeydew puree",add | pour,,,grand marnier | simple syrup | lime juice | tequila | honeydew | puree | ice,glass,,,
5,Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass,pour,,shot,blue curacao | baileys,cocktail glass | glasses,hot,,
3,Strain into the rimmed rocks glass over ice,strain,,,ice,rocks glass,,,
1,Garnish with one dried apple slice,,,slice,,,,,apple slice
3,Top with champagne and serve,serve | top,,,champagne,,,,
3,Garnish with Two Lime Wedges,,,,lime,,,,
4,Add all ingredients to a mixing glass with ice and stir to chill,add | stir,,,ice,glass,,,
2,Fill the glass with sour mix and cranberry juice to your taste,mix | fill | taste,,,cranberry juice,glass,,,
2,"Stir the mixture well to chill and blend the flavors, then strain into a cocktail glass",strain | blend | stir,,,,cocktail glass,,,
2,"If desired, add a small amount of Kool-Aid mix for extra flavor and color",add | mix,,,,,,,
0,"Heavy Vanilla Cream: In a cocktail shaker, add 1 cup of heavy whipping cream, 1 oz. of vanilla bean paste, ½ cup of  and shake vigorously until thick",add | shake,1 | ½,oz | cup,vanilla cream | vanilla | cream,shaker | cup,,,
1,Pour the mixture into the prepared glass over ice cubes,pour,,cubes,ice,glass,,,
0,"If it is too large, cut it with a sharp knife",cut,,,,knife,,,
2,"Place the Hpnotiq, rum, lime juice, andsimple syrupinto a cocktail shaker",place,,,lime juice | rum,shaker,,,
0,Fine strain the mixture into a Nick & Nora glass,strain | fine strain,,,,glass,,,
0,"In a saucepan, lightly smash 1 1/2 oz. of raspberries with 4 oz. of sugar",,1 1/2 | 4,oz,sugar,saucepan,,,
1,Prepare the Glass: Rim a margarita glass with chili salt by rubbing a lime wedge around the rim and dipping it into a plate of chili salt,rim | prepare,,,salt,margarita glass | glass | plate,,,lime wedge
5,Add the bitters and a splash of water,add | splash,,splash,water,,,,
4,"Stir gently and serve immediately to enjoy the refreshing, citrusy flavors of your 80s Wine Cooler",stir | serve,80,,wine,,,,
2,Add 0.5 oz Green chartreuse to the shaking glass,add,0.5,oz,green chartreuse,glass,,,
1,Pour the vodka and orange juice into a collins glass with ice cubes,pour,,cubes,orange juice | vodka | ice,collins glass,,,
1,Mix together until coffee and sugar is dissolved,mix,,,sugar | coffee,,,dissolved,
1,Garnish with Slices of Fresh Peach,,,slices,peach,,,,
2,"Pour 1 oz of vodka, 0.5 oz of crème de cacao, and 0.5 oz of cream into a cocktail shaker filled with ice",pour,1 | 0.5,oz,vodka | cream | ice,shaker,,,
5,Add ice and garnish with a lime wedge and a thyme sprig or apple slice,add,,slice,ice,,,,apple slice | lime wedge | thyme
0,"In a bar blender, combine 10 oz strawberry vodka, a splash of grenadine syrup, and 0.5 qt strawberry margarita mix with a generous amount of ice",mix | combine | splash,10 | 0.5,oz | splash,grenadine syrup | vodka | ice,blender,,,strawberry
2,"Serve immediately and enjoy the bold, sweet flavors of the Bloody Jack",serve,,,,,,,
1,Garnish with candy heart,,,,,,,,candy
3,Muddle strawberries in a glass,muddle,,,,glass,,,
1,"Add ice, lychees, rum, coconut milk and coconut cream to blender and pulse until smooth",add,,,coconut cream | coconut milk | rum | ice,blender,,,
1,Float the cream on top,top | float,,,cream,,,,
1,"Stir gently and serve immediately to enjoy the smooth, fizzy flavors of your 7 on 7 cocktail",stir | serve,7,,,,,,
1,Add a bit of extra cream of coconut to a separate plate and dip the edge of the rim of the glass into it,add | rim | dip | separate,,,coconut | cream,glass | plate,,,
2,Garnish with a Sugar Cane and Lime Wheel,,,wheel,sugar,,,,lime wheel
0,Strain into frozen rocks glass,strain,,,,rocks glass,,frozen,
1,Garnish with watermelon slice placed inside glass,,,slice,watermelon,glass,,,
1,"Pour over crushed ice into a mug, then garnish",pour,,,ice,mug,,crushed,
3,Give the drink a slight stir to mix the flavors together,stir | mix,,,,,,,
4,Add all ingredients to mixing tin and dry shake for 10 seconds,add | shake | dry shake,10,seconds,,,,,
4,"Carefully fill the flute with 4 oz of champagne, allowing the bubbles to gently mix with the creamy base",mix | fill,4,oz,champagne,,,,
4,Stir gently to mix the ingredients,stir | mix,,,,,,,
0,"Combine the rum, gin, vodka, lemon juice, lemonade, and grenadine in a mixing glass with ice",combine,,,lemon juice | vodka | gin | rum | lemonade | ice | grenadine,glass,,,
1,Add all ingredients to a shaker tin filled with ice and shake,add | shake,,,ice,shaker,,,
5,Serve immediately and enjoy the refreshing citrus twist,serve,,,,,,,
1,Strain into a Highball Glass filled with Ice,strain,,,ice,highball glass,,,
3,"While the drink waits, prepare a large ice cube for the rocks glass by removing just enough of the bottom four corners to fit snugly in the glass",prepare,,cube,ice,rocks glass | glass,,,
3,Top with soda water and enjoy,top,,,soda water,,,,
1,"In a bar blender, combine ½ oz vodka, 1 oz almond liqueur, ½ oz dark crème de cacao, ¼ oz chocolate sauce, and 1 scoop of ice cream",combine,½ | 1 | ¼,oz | scoop,almond liqueur | ice cream | vodka | chocolate,blender,,,
1,Add jello to hot water and stir until jello has dissolved,add | stir,,,water,,hot,dissolved,
0,Combine all ingredients in a shaker with ice and shake,shake | combine,,,ice,shaker,,,
2,Strain into a whiskey sour glass,strain,,,whiskey,glass,,,
3,"For the spiked hot cider:Combine the cloves, cinnamon sticks, and apple cider in a medium pot",combine,,cloves,apple | cinnamon | cloves | cider,pot,hot,,
3,"In a separate large container, add the whole milk",add | separate,,,milk,container,,,
5,Strain the cocktail over crushed ice in a glass,strain,,,ice,glass,,crushed,
0,"In an Irish coffee mug, pour ½ oz almond liqueur, ½ oz white crème de cacao, and ½ oz coffee liqueur",pour,½,oz,coffee liqueur | almond liqueur | coffee,mug,,,
4,Strain into rocks glass over fresh ice,strain,,,ice,rocks glass,,,
3,Stir all ingredients in an Ice-filled Mixing Glass,stir,,,ice,glass,,,
1,"Add the mint, cucumber, and orange slice to a shaker",add,,slice,cucumber | orange,shaker,,,
3,Drop in some craisins,drop,,drop,,,,,
1,Layer ingredients in order shown above,layer,,,,,,,
1,Fill a Shot Glass with Lime Juice,fill,,shot,lime juice,shot glass,hot,,
3,Garnish with a blue spirulina wheel and spray with forest mist tincture,spray | mist,,wheel,,,,,
1,"In a shaker with ice, combine tequila, peach schnapps, and grape juice",combine,,,peach schnapps | tequila | ice,shaker,,,
0,Locate the three “eyes” at the top of the coconut,top,,,coconut,,,,
5,"After 2 weeks, strain the mint leaves from the vodka",strain,2,,mint leaves | vodka,,,,
1,"Seal and shake vigorously until outside is frosted, 10 to 15 seconds.Strain margarita into the glass and garnish with remaining blackberries",shake | strain,10 | 15,seconds,,glass,,frosted,
2,Pour the blended cocktail into a cocktail glass and serve immediately,pour | serve,,,,cocktail glass,,,
1,Pour 1.5 oz of Rumchata peppermint bark into a cup of hot chocolate,pour,1.5,oz | cup,chocolate,cup,hot,,
0,Combine all ingredients in a mixing tin and shake with ice for 15 to 20 seconds,shake | combine,15 | 20,seconds,ice,,,,
2,"In a cocktail shaker filled with ice, pour 1 1/4 oz of spiced rum, 1.5 oz of orange juice, 1.5 oz of apple juice, and 1 oz of sours",pour,1 1/4 | 1.5 | 1,oz,orange juice | apple juice | spiced rum | ice,shaker,,iced,
1,Kina Lillet has gone out of production and Lillet Blanc is the closest living cousin,,,,,,,,
1,Top with three ounces  of hot water and stir once more,stir | top,,ounces,water,,hot,,
3,"Shake 1 oz Tequila, 1 splash Sweet and sour, and 2 oz Hawaiian punch with ice",shake | splash,1 | 2,oz | splash,tequila | ice,,,,
2,Combine sugar. brown sugar and butter in a 2-quart saucepan,combine,2,quart,sugar | butter,saucepan,,,
0,"Twist orange peel over top of the glass to express essential oils, then garnish drink with peel",top | express,,,orange,glass,,,peel
0,"Pour Viniq, cranberry juice, peach vodka, and bitters into a tall glass",pour,,,cranberry juice | peach vodka,glass,,,
2,"Top the glass with 5 oz of cola, filling it to the brim",top,5,oz,cola,glass,,,
1,"Pour the ingredients into an highball glass, top with Sparkling wine",pour | top,,,sparkling wine,highball glass,,,
3,Mix ingredients with ice in cocktail shaker,mix,,,ice,shaker,,,
2,"In a cocktail shaker filled with ice cubes, add 4 oz tomato juice, 1 dash Tabasco sauce, 2 dashes Worcestershire sauce, and 4 oz herbal liqueur",add,4 | 1 | 2,oz | dash | cubes,worcestershire sauce | herbal liqueur | tabasco sauce | tomato juice | ice,shaker,,,
1,"Pour 2 oz of rum, 1 tsp of sugar, and 8 oz of milk into a shaker filled with ice",pour,2 | 1 | 8,oz | tsp,rum | sugar | milk | ice,shaker,,,
0,"Combine the ingredients in a shaker, add ice, and shake until chilled",add | shake | combine,,,ice,shaker,chilled,,
1,"Add the Cognac, rye whiskey and absinthe and fill the mixing glass with a handful of ice",add | fill,,handful,rye whiskey | cognac | absinthe | ice,glass,,,
1,Strain and add to shaker with ice,add | strain,,,ice,shaker,,,
2,Add Orange Juice: Add a splash of orange juice to the glass,add | splash,,splash,orange juice,glass,,,
4,"In a cocktail shaker filled with cracked ice, combine 0.5 oz almond liqueur, 0.5 oz white crème de cacao, 0.5 oz triple sec, 0.5 oz vodka, 0.5 oz crème de bananes, and 1 oz light cream",combine | light,0.5 | 1,oz,almond liqueur | vodka | triple | sec | cream | ice,shaker,,,
0,Pour the Irish cream and brandy into a glass,pour,,,irish cream | brandy,glass,,,
3,Top up with Tonic Water,top,,,tonic water,,,,
1,Combine 1 cup of water and 1 cinnamon stick  in a pot and bring to a simmer,combine | simmer,1,cup,water,cup | pot,,,cinnamon stick
2,"In a shaker with ice, combine rumchata, strawberry liqueur, watermelon pucker, half & half, and grenadine",combine,,,watermelon | ice | grenadine,shaker,,,strawberry
0,Shake vigorously to combine and chill the ingredients,shake | combine,,,,,,,
0,"Strain the mixture into a cocktail glass, letting the bright red color shine",strain,,,,cocktail glass,,,
5,"Serve immediately and enjoy the sparkling, citrusy flavors of the Blue Angel 3",serve,3,,,,,,
0,"Slowly add 1 oz blue curacao, allowing it to create a swirling effect as it mixes with the bubbles from the soda",add,1,oz,blue curacao,,,,
0,"Next, layer the coffee liqueur, followed by the strawberry liqueur",layer,,,coffee liqueur,,,,strawberry
1,"Serve immediately, with or without ice, and enjoy your Cherry Bomb 4 Cocktail!",serve,4,,ice,,,,cherry
5,"Gently stir to combine, then garnish",stir | combine | gently stir,,,,,,,
1,Add the Pastis to a small highball glass,add,,,,highball glass,,,
2,"Serve immediately and enjoy the rich, creamy, and tropical flavors of your Coconut Dream Cocktail!",serve,,,coconut,,,,
4,Express a lemon twist over the drink then discard,express,,,,,,,lemon twist
1,Decorate with twists of lemon peel,,,,,,,,lemon peel
1,Fill a champagne flute with crushed or shaved ice,fill,,,champagne | ice,champagne flute,,crushed | shaved,
5,"Shake all of the ingredients with ice, then strain into a glass holding a single large ice cube",shake | strain,,cube,ice,glass,,,
